condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,abs_current_density_A_cm2,log10_abs_current_density_A_cm2,cycle
SR550,replicate_01,CPP,3651,1.16845,-0.2694453,-269.4453,-0.000003055507,0.000003055507,-5.51491671699803,1
SR550,replicate_01,CPP,3652,1.9214,-0.2686829,-268.6829,-0.000001328676,0.000001328676,-5.87658090962695,1
SR550,replicate_01,CPP,3653,2.5243,-0.268265,-268.265,-0.0000009751778,0.0000009751778,-6.01091619402548,1
SR550,replicate_01,CPP,3654,3.1272,-0.2675882,-267.5882,-0.0000007979016,0.0000007979016,-6.09805066405278,1
SR550,replicate_01,CPP,3655,3.73015,-0.2670202,-267.0202,-0.0000006822522,0.0000006822522,-6.16605505522374,1
SR550,replicate_01,CPP,3656,4.33315,-0.2664371,-266.4371,-0.0000006033207,0.0000006033207,-6.21945177373622,1
SR550,replicate_01,CPP,3657,4.9361,-0.2658057,-265.8057,-0.0000005458622,0.0000005458622,-6.26291697878399,1
SR550,replicate_01,CPP,3658,5.5391,-0.2652336,-265.2336,-0.0000004959621,0.0000004959621,-6.30455150977946,1
SR550,replicate_01,CPP,3659,6.1421,-0.2646596,-264.6596,-0.0000004585902,0.0000004585902,-6.33857523031127,1
SR550,replicate_01,CPP,3660,6.745,-0.2639295,-263.9295,-0.0000004271955,0.0000004271955,-6.36937333073479,1
SR550,replicate_01,CPP,3661,7.35275,-0.2633615,-263.3615,-0.000000397671,0.000000397671,-6.40047607861218,1
SR550,replicate_01,CPP,3662,7.95565,-0.2628509,-262.8509,-0.0000003763209,0.0000003763209,-6.42444166129051,1
SR550,replicate_01,CPP,3663,8.55865,-0.262149,-262.149,-0.0000003504455,0.0000003504455,-6.4553795123325,1
SR550,replicate_01,CPP,3664,9.1616,-0.2615326,-261.5326,-0.0000003339281,0.0000003339281,-6.47634703359176,1
SR550,replicate_01,CPP,3665,9.7646,-0.2610059,-261.0059,-0.0000003210218,0.0000003210218,-6.49346547445421,1
SR550,replicate_01,CPP,3666,10.36755,-0.260303,-260.303,-0.0000003011575,0.0000003011575,-6.52120631672699,1
SR550,replicate_01,CPP,3667,10.97045,-0.2597833,-259.7833,-0.0000002919564,0.0000002919564,-6.53468200010367,1
SR550,replicate_01,CPP,3668,11.57345,-0.2591529,-259.1529,-0.0000002744358,0.0000002744358,-6.56155923579214,1
SR550,replicate_01,CPP,3669,12.17645,-0.258602,-258.602,-0.0000002636117,0.0000002636117,-6.57903531815741,1
SR550,replicate_01,CPP,3670,12.7794,-0.2582203,-258.2203,-0.0000002457367,0.0000002457367,-6.6095299781669,1
SR550,replicate_01,CPP,3671,13.38715,-0.2572475,-257.2475,-0.0000002368377,0.0000002368377,-6.62554916512997,1
SR550,replicate_01,CPP,3672,13.9902,-0.256897,-256.897,-0.000000228751,0.000000228751,-6.64063699871055,1
SR550,replicate_01,CPP,3673,14.59315,-0.2563703,-256.3703,-0.0000002214137,0.0000002214137,-6.65479551060127,1
SR550,replicate_01,CPP,3674,15.19615,-0.255616,-255.616,-0.0000002075657,0.0000002075657,-6.68284441157242,1
SR550,replicate_01,CPP,3675,15.79915,-0.2548617,-254.8617,-0.0000002049028,0.0000002049028,-6.6884521069173,1
SR550,replicate_01,CPP,3676,16.40215,-0.2545324,-254.5324,-0.0000001911673,0.0000001911673,-6.71858639367131,1
SR550,replicate_01,CPP,3677,17.00505,-0.2537378,-253.7378,-0.000000188358,0.000000188358,-6.72501592957766,1
SR550,replicate_01,CPP,3678,17.60805,-0.2529382,-252.9382,-0.0000001825692,0.0000001825692,-6.73857248747143,1
SR550,replicate_01,CPP,3679,18.21095,-0.2527338,-252.7338,-0.0000001718942,0.0000001718942,-6.76473877689346,1
SR550,replicate_01,CPP,3680,18.81395,-0.2519321,-251.9321,-0.0000001695674,0.0000001695674,-6.77065763887759,1
SR550,replicate_01,CPP,3681,19.4217,-0.251343,-251.343,-0.0000001551623,0.0000001551623,-6.80921379139536,1
SR550,replicate_01,CPP,3682,20.0247,-0.2507428,-250.7428,-0.0000001555141,0.0000001555141,-6.80823022866554,1
SR550,replicate_01,CPP,3683,20.6277,-0.2502282,-250.2282,-0.0000001486241,0.0000001486241,-6.82791076225529,1
SR550,replicate_01,CPP,3684,21.23065,-0.2492966,-249.2966,-0.0000001438934,0.0000001438934,-6.84195912551659,1
SR550,replicate_01,CPP,3685,21.8336,-0.2489683,-248.9683,-0.0000001368072,0.0000001368072,-6.86389104561309,1
SR550,replicate_01,CPP,3686,22.43665,-0.2485483,-248.5483,-0.0000001233058,0.0000001233058,-6.90901649478503,1
SR550,replicate_01,CPP,3687,23.0396,-0.2477296,-247.7296,-0.0000001299473,0.0000001299473,-6.88623273968958,1
SR550,replicate_01,CPP,3688,23.6426,-0.2472583,-247.2583,-0.000000120091,0.000000120091,-6.92048953878191,1
SR550,replicate_01,CPP,3689,24.2455,-0.246643,-246.643,-0.0000001124935,0.0000001124935,-6.94887257084761,1
SR550,replicate_01,CPP,3690,24.84845,-0.2457346,-245.7346,-0.0000001125288,0.0000001125288,-6.94873631239379,1
SR550,replicate_01,CPP,3691,25.45745,-0.2454788,-245.4788,-0.0000001048854,0.0000001048854,-6.97928496119373,1
SR550,replicate_01,CPP,3692,26.05375,-0.2447235,-244.7235,-0.0000001028536,0.0000001028536,-6.98778050287278,1
SR550,replicate_01,CPP,3693,26.6567,-0.2442582,-244.2582,-0.00000009623827,0.00000009623827,-7.01665219256978,1
SR550,replicate_01,CPP,3694,27.25965,-0.2435814,-243.5814,-0.00000009430717,0.00000009430717,-7.02545528739989,1
SR550,replicate_01,CPP,3695,27.8626,-0.2427999,-242.7999,-0.00000009010345,0.00000009010345,-7.04525857986137,1
SR550,replicate_01,CPP,3696,28.4655,-0.2422742,-242.2742,-0.00000008328382,0.00000008328382,-7.07943936314602,1
SR550,replicate_01,CPP,3697,29.06845,-0.2415924,-241.5924,-0.00000008023707,0.00000008023707,-7.0956249387372,1
SR550,replicate_01,CPP,3698,29.6714,-0.2410466,-241.0466,-0.00000007380928,0.00000007380928,-7.13188903113874,1
SR550,replicate_01,CPP,3699,30.27435,-0.240529,-240.529,-0.00000007461522,0.00000007461522,-7.12717257617587,1
SR550,replicate_01,CPP,3700,30.87725,-0.2397988,-239.7988,-0.00000006914677,0.00000006914677,-7.16022810194569,1
SR550,replicate_01,CPP,3701,31.48505,-0.2392852,-239.2852,-0.00000006609061,0.00000006609061,-7.17986023968031,1
SR550,replicate_01,CPP,3702,32.088,-0.2387021,-238.7021,-0.00000005870675,0.00000005870675,-7.23131196145737,1
SR550,replicate_01,CPP,3703,32.69085,-0.2380767,-238.0767,-0.00000005795994,0.00000005795994,-7.2368720727813,1
SR550,replicate_01,CPP,3704,33.2938,-0.2374433,-237.4433,-0.00000005628086,0.00000005628086,-7.2496392749473,1
SR550,replicate_01,CPP,3705,33.89675,-0.2369085,-236.9085,-0.00000005255781,0.00000005255781,-7.27936273942869,1
