condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,cycle
SR550,replicate_01,OCP,334,0.37895,-0.167425,-167.425,0,1
SR550,replicate_01,OCP,335,1.4636,-0.1677513,-167.7513,0,1
SR550,replicate_01,OCP,336,2.5484,-0.1681491,-168.1491,0,1
SR550,replicate_01,OCP,337,3.6331,-0.1686507,-168.6507,0,1
SR550,replicate_01,OCP,338,4.71785,-0.1690776,-169.0776,0,1
SR550,replicate_01,OCP,339,5.80255,-0.1694835,-169.4835,0,1
SR550,replicate_01,OCP,340,6.8872,-0.1699075,-169.9075,0,1
SR550,replicate_01,OCP,341,7.97195,-0.1702841,-170.2841,0,1
SR550,replicate_01,OCP,342,9.0567,-0.1707605,-170.7605,0,1
SR550,replicate_01,OCP,343,10.14145,-0.1711321,-171.1321,0,1
SR550,replicate_01,OCP,344,11.23095,-0.1715007,-171.5007,0,1
SR550,replicate_01,OCP,345,12.3156,-0.1718693,-171.8693,0,1
SR550,replicate_01,OCP,346,13.4003,-0.1722832,-172.2832,0,1
SR550,replicate_01,OCP,347,14.48505,-0.1728915,-172.8915,0,1
SR550,replicate_01,OCP,348,15.5698,-0.1734373,-173.4373,0,1
SR550,replicate_01,OCP,349,16.6545,-0.1741302,-174.1302,0,1
SR550,replicate_01,OCP,350,17.7392,-0.174823,-174.823,0,1
SR550,replicate_01,OCP,351,18.82395,-0.1754646,-175.4646,0,1
SR550,replicate_01,OCP,352,19.90865,-0.1757526,-175.7526,0,1
SR550,replicate_01,OCP,353,20.9934,-0.1759359,-175.9359,0,1
SR550,replicate_01,OCP,354,22.08295,-0.1763377,-176.3377,0,1
SR550,replicate_01,OCP,355,23.1677,-0.1768271,-176.8271,0,1
SR550,replicate_01,OCP,356,24.2524,-0.1772501,-177.2501,0,1
SR550,replicate_01,OCP,357,25.3371,-0.1779641,-177.9641,0,1
SR550,replicate_01,OCP,358,26.4219,-0.1787597,-178.7597,0,1
SR550,replicate_01,OCP,359,27.50665,-0.1793187,-179.3187,0,1
SR550,replicate_01,OCP,360,28.5913,-0.1801173,-180.1173,0,1
SR550,replicate_01,OCP,361,29.676,-0.1807336,-180.7336,0,1
SR550,replicate_01,OCP,362,30.76075,-0.1813832,-181.3832,0,1
SR550,replicate_01,OCP,363,31.8455,-0.1820841,-182.0841,0,1
SR550,replicate_01,OCP,364,32.935,-0.1826994,-182.6994,0,1
SR550,replicate_01,OCP,365,34.01975,-0.1834134,-183.4134,0,1
SR550,replicate_01,OCP,366,35.10455,-0.1838928,-183.8928,0,1
SR550,replicate_01,OCP,367,36.1892,-0.1844125,-184.4125,0,1
SR550,replicate_01,OCP,368,37.27395,-0.1850238,-185.0238,0,1
SR550,replicate_01,OCP,369,38.3586,-0.1855404,-185.5404,0,1
