condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,cycle
SR500,replicate_01,OCP,334,0.50085,-0.1445386,-144.5386,0,1
SR500,replicate_01,OCP,335,1.5855,-0.1434989,-143.4989,0,1
SR500,replicate_01,OCP,336,2.67015,-0.1426224,-142.6224,0,1
SR500,replicate_01,OCP,337,3.75495,-0.1417776,-141.7776,0,1
SR500,replicate_01,OCP,338,4.83965,-0.1409634,-140.9634,0,1
SR500,replicate_01,OCP,339,5.9243,-0.1400207,-140.0207,0,1
SR500,replicate_01,OCP,340,7.00905,-0.1390252,-139.0252,0,1
SR500,replicate_01,OCP,341,8.09375,-0.1381998,-138.1998,0,1
SR500,replicate_01,OCP,342,9.1785,-0.1374756,-137.4756,0,1
SR500,replicate_01,OCP,343,10.2632,-0.1366796,-136.6796,0,1
SR500,replicate_01,OCP,344,11.35275,-0.1357208,-135.7208,0,1
SR500,replicate_01,OCP,345,12.43755,-0.1347714,-134.7714,0,1
SR500,replicate_01,OCP,346,13.5222,-0.1339609,-133.9609,0,1
SR500,replicate_01,OCP,347,14.6069,-0.1331911,-133.1911,0,1
SR500,replicate_01,OCP,348,15.69165,-0.1325078,-132.5078,0,1
SR500,replicate_01,OCP,349,16.77645,-0.1318692,-131.8692,0,1
SR500,replicate_01,OCP,350,17.8612,-0.1312744,-131.2744,0,1
SR500,replicate_01,OCP,351,18.94585,-0.1305254,-130.5254,0,1
SR500,replicate_01,OCP,352,20.0306,-0.1297904,-129.7904,0,1
SR500,replicate_01,OCP,353,21.1153,-0.1291628,-129.1628,0,1
SR500,replicate_01,OCP,354,22.20485,-0.1283708,-128.3708,0,1
SR500,replicate_01,OCP,355,23.28965,-0.1278111,-127.8111,0,1
SR500,replicate_01,OCP,356,24.37435,-0.1271989,-127.1989,0,1
SR500,replicate_01,OCP,357,25.459,-0.1266073,-126.6073,0,1
SR500,replicate_01,OCP,358,26.54375,-0.125916,-125.916,0,1
SR500,replicate_01,OCP,359,27.62845,-0.1254285,-125.4285,0,1
SR500,replicate_01,OCP,360,28.7131,-0.1249393,-124.9393,0,1
SR500,replicate_01,OCP,361,29.79785,-0.1243453,-124.3453,0,1
SR500,replicate_01,OCP,362,30.8825,-0.1239543,-123.9543,0,1
SR500,replicate_01,OCP,363,31.96725,-0.1234112,-123.4112,0,1
SR500,replicate_01,OCP,364,33.0567,-0.1229037,-122.9037,0,1
SR500,replicate_01,OCP,365,34.14145,-0.1224713,-122.4713,0,1
SR500,replicate_01,OCP,366,35.2261,-0.1221013,-122.1013,0,1
SR500,replicate_01,OCP,367,36.31105,-0.1216076,-121.6076,0,1
SR500,replicate_01,OCP,368,37.39575,-0.1212094,-121.2094,0,1
SR500,replicate_01,OCP,369,38.4804,-0.1208445,-120.8445,0,1
SR500,replicate_01,OCP,370,39.5651,-0.1203557,-120.3557,0,1
SR500,replicate_01,OCP,371,40.64985,-0.1200769,-120.0769,0,1
SR500,replicate_01,OCP,372,41.7346,-0.1196865,-119.6865,0,1
SR500,replicate_01,OCP,373,42.81925,-0.1193454,-119.3454,0,1
SR500,replicate_01,OCP,374,43.9095,-0.1190164,-119.0164,0,1
SR500,replicate_01,OCP,375,44.9943,-0.1186208,-118.6208,0,1
SR500,replicate_01,OCP,376,46.079,-0.1182112,-118.2112,0,1
SR500,replicate_01,OCP,377,47.16365,-0.1179489,-117.9489,0,1
SR500,replicate_01,OCP,378,48.24845,-0.1179626,-117.9626,0,1
SR500,replicate_01,OCP,379,49.3332,-0.1176793,-117.6793,0,1
SR500,replicate_01,OCP,380,50.4179,-0.117418,-117.418,0,1
SR500,replicate_01,OCP,381,51.50255,-0.1172257,-117.2257,0,1
SR500,replicate_01,OCP,382,52.58725,-0.1169446,-116.9446,0,1
SR500,replicate_01,OCP,383,53.67195,-0.1166202,-116.6202,0,1
SR500,replicate_01,OCP,384,54.7617,-0.1163361,-116.3361,0,1
SR500,replicate_01,OCP,385,55.84645,-0.116157,-116.157,0,1
SR500,replicate_01,OCP,386,56.9311,-0.1158432,-115.8432,0,1
SR500,replicate_01,OCP,387,58.01595,-0.1155747,-115.5747,0,1
SR500,replicate_01,OCP,388,59.1007,-0.1152655,-115.2655,0,1
SR500,replicate_01,OCP,389,60.1854,-0.1150557,-115.0557,0,1
SR500,replicate_01,OCP,390,61.2701,-0.1146558,-114.6558,0,1
SR500,replicate_01,OCP,391,62.3548,-0.1144341,-114.4341,0,1
SR500,replicate_01,OCP,392,63.43955,-0.1140864,-114.0864,0,1
SR500,replicate_01,OCP,393,64.52435,-0.1139359,-113.9359,0,1
SR500,replicate_01,OCP,394,65.61385,-0.113662,-113.662,0,1
SR500,replicate_01,OCP,395,66.6985,-0.113414,-113.414,0,1
SR500,replicate_01,OCP,396,67.7833,-0.1132641,-113.2641,0,1
SR500,replicate_01,OCP,397,68.86795,-0.1130573,-113.0573,0,1
SR500,replicate_01,OCP,398,69.9527,-0.1128374,-112.8374,0,1
SR500,replicate_01,OCP,399,71.0375,-0.1126508,-112.6508,0,1
SR500,replicate_01,OCP,400,72.1222,-0.1124673,-112.4673,0,1
SR500,replicate_01,OCP,401,73.207,-0.1122495,-112.2495,0,1
SR500,replicate_01,OCP,402,74.2917,-0.1120674,-112.0674,0,1
SR500,replicate_01,OCP,403,75.3764,-0.1126561,-112.6561,0,1
SR500,replicate_01,OCP,404,76.4659,-0.1124811,-112.4811,0,1
SR500,replicate_01,OCP,405,77.5506,-0.1123915,-112.3915,0,1
SR500,replicate_01,OCP,406,78.6353,-0.1121044,-112.1044,0,1
SR500,replicate_01,OCP,407,79.72005,-0.1118213,-111.8213,0,1
SR500,replicate_01,OCP,408,80.8047,-0.1115716,-111.5716,0,1
SR500,replicate_01,OCP,409,81.88955,-0.1114286,-111.4286,0,1
SR500,replicate_01,OCP,410,82.9743,-0.1111586,-111.1586,0,1
SR500,replicate_01,OCP,411,84.05895,-0.1109823,-110.9823,0,1
SR500,replicate_01,OCP,412,85.14365,-0.1107749,-110.7749,0,1
SR500,replicate_01,OCP,413,86.2283,-0.1105798,-110.5798,0,1
SR500,replicate_01,OCP,414,87.31795,-0.1104394,-110.4394,0,1
SR500,replicate_01,OCP,415,88.40265,-0.1102232,-110.2232,0,1
SR500,replicate_01,OCP,416,89.48735,-0.1100556,-110.0556,0,1
SR500,replicate_01,OCP,417,90.572,-0.1099285,-109.9285,0,1
SR500,replicate_01,OCP,418,91.6567,-0.1097497,-109.7497,0,1
SR500,replicate_01,OCP,419,92.74135,-0.1095806,-109.5806,0,1
SR500,replicate_01,OCP,420,93.8262,-0.1093773,-109.3773,0,1
SR500,replicate_01,OCP,421,94.91095,-0.1092135,-109.2135,0,1
SR500,replicate_01,OCP,422,95.9957,-0.1090768,-109.0768,0,1
SR500,replicate_01,OCP,423,97.0806,-0.1088542,-108.8542,0,1
SR500,replicate_01,OCP,424,98.1702,-0.1087553,-108.7553,0,1
SR500,replicate_01,OCP,425,99.25485,-0.1086815,-108.6815,0,1
SR500,replicate_01,OCP,426,100.3396,-0.1088693,-108.8693,0,1
SR500,replicate_01,OCP,427,101.4243,-0.1091177,-109.1177,0,1
SR500,replicate_01,OCP,428,102.509,-0.1089951,-108.9951,0,1
SR500,replicate_01,OCP,429,103.5938,-0.1087778,-108.7778,0,1
SR500,replicate_01,OCP,430,104.6786,-0.1086846,-108.6846,0,1
SR500,replicate_01,OCP,431,105.7634,-0.1083561,-108.3561,0,1
SR500,replicate_01,OCP,432,106.8481,-0.1081464,-108.1464,0,1
SR500,replicate_01,OCP,433,107.9327,-0.1079251,-107.9251,0,1
SR500,replicate_01,OCP,434,109.0223,-0.1078695,-107.8695,0,1
SR500,replicate_01,OCP,435,110.107,-0.1080087,-108.0087,0,1
SR500,replicate_01,OCP,436,111.1918,-0.1083033,-108.3033,0,1
SR500,replicate_01,OCP,437,112.2766,-0.1081899,-108.1899,0,1
SR500,replicate_01,OCP,438,113.3615,-0.1080054,-108.0054,0,1
SR500,replicate_01,OCP,439,114.4461,-0.1077686,-107.7686,0,1
SR500,replicate_01,OCP,440,115.5309,-0.1076704,-107.6704,0,1
SR500,replicate_01,OCP,441,116.6156,-0.1076676,-107.6676,0,1
