condition,replicate_id,measurement_type,index,time_s,Ewe_V,Ewe_mV,current_density_A_cm2,cycle
SR450,replicate_03,OCP,334,0.5009,-0.1028468,-102.8468,0,1
SR450,replicate_03,OCP,335,1.5856,-0.1014778,-101.4778,0,1
SR450,replicate_03,OCP,336,2.67035,-0.1003346,-100.3346,0,1
SR450,replicate_03,OCP,337,3.755,-0.09924714,-99.24714,0,1
SR450,replicate_03,OCP,338,4.83975,-0.09828326,-98.28326,0,1
SR450,replicate_03,OCP,339,5.9245,-0.09737487,-97.37487,0,1
SR450,replicate_03,OCP,340,7.00925,-0.09651543,-96.51543,0,1
SR450,replicate_03,OCP,341,8.094,-0.09575579,-95.75579,0,1
SR450,replicate_03,OCP,342,9.17885,-0.09504388,-95.04388,0,1
SR450,replicate_03,OCP,343,10.26355,-0.09431708,-94.31708,0,1
SR450,replicate_03,OCP,344,11.35305,-0.09366439,-93.66439,0,1
SR450,replicate_03,OCP,345,12.4379,-0.09295107,-92.95107,0,1
SR450,replicate_03,OCP,346,13.5226,-0.09233413,-92.33413,0,1
SR450,replicate_03,OCP,347,14.60735,-0.09177712,-91.77712,0,1
SR450,replicate_03,OCP,348,15.6921,-0.09117418,-91.17418,0,1
SR450,replicate_03,OCP,349,16.7768,-0.09066006,-90.66006,0,1
SR450,replicate_03,OCP,350,17.86155,-0.09013729,-90.13729,0,1
SR450,replicate_03,OCP,351,18.9462,-0.08959588,-89.59588,0,1
SR450,replicate_03,OCP,352,20.03095,-0.08905417,-89.05417,0,1
SR450,replicate_03,OCP,353,21.11565,-0.08868247,-88.68247,0,1
SR450,replicate_03,OCP,354,22.20525,-0.08816221,-88.16221,0,1
SR450,replicate_03,OCP,355,23.28995,-0.08769724,-87.69724,0,1
SR450,replicate_03,OCP,356,24.3747,-0.08726077,-87.26077,0,1
SR450,replicate_03,OCP,357,25.4595,-0.08684675,-86.84675,0,1
SR450,replicate_03,OCP,358,26.54425,-0.08649015,-86.49015,0,1
SR450,replicate_03,OCP,359,27.62895,-0.08608923,-86.08923,0,1
SR450,replicate_03,OCP,360,28.7136,-0.08570503,-85.70503,0,1
SR450,replicate_03,OCP,361,29.79825,-0.0853173,-85.3173,0,1
SR450,replicate_03,OCP,362,30.8829,-0.08494861,-84.94861,0,1
SR450,replicate_03,OCP,363,31.96765,-0.08460359,-84.60359,0,1
SR450,replicate_03,OCP,364,33.05715,-0.08424032,-84.24032,0,1
SR450,replicate_03,OCP,365,34.14185,-0.08396268,-83.96268,0,1
SR450,replicate_03,OCP,366,35.2265,-0.08359731,-83.59731,0,1
SR450,replicate_03,OCP,367,36.31125,-0.0832687,-83.2687,0,1
SR450,replicate_03,OCP,368,37.39595,-0.08298893,-82.98893,0,1
SR450,replicate_03,OCP,369,38.48075,-0.08272508,-82.72508,0,1
SR450,replicate_03,OCP,370,39.56545,-0.08241419,-82.41419,0,1
SR450,replicate_03,OCP,371,40.65015,-0.08214268,-82.14268,0,1
SR450,replicate_03,OCP,372,41.7349,-0.08187349,-81.87349,0,1
SR450,replicate_03,OCP,373,42.81955,-0.08159725,-81.59725,0,1
SR450,replicate_03,OCP,374,43.90975,-0.0813774,-81.3774,0,1
SR450,replicate_03,OCP,375,44.99445,-0.08113943,-81.13943,0,1
SR450,replicate_03,OCP,376,46.07915,-0.08091757,-80.91757,0,1
SR450,replicate_03,OCP,377,47.1639,-0.08068182,-80.68182,0,1
SR450,replicate_03,OCP,378,48.24865,-0.08047134,-80.47134,0,1
SR450,replicate_03,OCP,379,49.3333,-0.08028644,-80.28644,0,1
SR450,replicate_03,OCP,380,50.4181,-0.08005803,-80.05803,0,1
SR450,replicate_03,OCP,381,51.5029,-0.07987786,-79.87786,0,1
SR450,replicate_03,OCP,382,52.58765,-0.07968208,-79.68208,0,1
SR450,replicate_03,OCP,383,53.67235,-0.07948047,-79.48047,0,1
SR450,replicate_03,OCP,384,54.7619,-0.07929013,-79.29013,0,1
SR450,replicate_03,OCP,385,55.8466,-0.07911893,-79.11893,0,1
SR450,replicate_03,OCP,386,56.93135,-0.07896212,-78.96212,0,1
SR450,replicate_03,OCP,387,58.016,-0.07883,-78.83,0,1
SR450,replicate_03,OCP,388,59.1007,-0.078661,-78.661,0,1
SR450,replicate_03,OCP,389,60.18545,-0.0785182,-78.5182,0,1
SR450,replicate_03,OCP,390,61.2702,-0.07834901,-78.34901,0,1
SR450,replicate_03,OCP,391,62.3549,-0.0782189,-78.2189,0,1
SR450,replicate_03,OCP,392,63.4397,-0.07810792,-78.10792,0,1
SR450,replicate_03,OCP,393,64.5244,-0.07804135,-78.04135,0,1
SR450,replicate_03,OCP,394,65.61385,-0.07792191,-77.92191,0,1
SR450,replicate_03,OCP,395,66.6986,-0.07779008,-77.79008,0,1
SR450,replicate_03,OCP,396,67.7833,-0.07765514,-77.65514,0,1
SR450,replicate_03,OCP,397,68.86795,-0.07757447,-77.57447,0,1
SR450,replicate_03,OCP,398,69.95265,-0.07742944,-77.42944,0,1
SR450,replicate_03,OCP,399,71.0374,-0.0773087,-77.3087,0,1
SR450,replicate_03,OCP,400,72.1222,-0.07716066,-77.16066,0,1
SR450,replicate_03,OCP,401,73.20685,-0.07696176,-76.96176,0,1
SR450,replicate_03,OCP,402,74.29155,-0.07684373,-76.84373,0,1
SR450,replicate_03,OCP,403,75.37625,-0.07665067,-76.65067,0,1
SR450,replicate_03,OCP,404,76.4657,-0.07652811,-76.52811,0,1
SR450,replicate_03,OCP,405,77.55045,-0.07639448,-76.39448,0,1
SR450,replicate_03,OCP,406,78.6352,-0.07621823,-76.21823,0,1
SR450,replicate_03,OCP,407,79.7199,-0.07606576,-76.06576,0,1
SR450,replicate_03,OCP,408,80.8048,-0.07592266,-75.92266,0,1
SR450,replicate_03,OCP,409,81.8895,-0.07574601,-75.74601,0,1
SR450,replicate_03,OCP,410,82.97425,-0.0756162,-75.6162,0,1
SR450,replicate_03,OCP,411,84.0589,-0.07545134,-75.45134,0,1
SR450,replicate_03,OCP,412,85.1436,-0.07531277,-75.31277,0,1
SR450,replicate_03,OCP,413,86.2286,-0.07516946,-75.16946,0,1
SR450,replicate_03,OCP,414,87.31815,-0.07501336,-75.01336,0,1
SR450,replicate_03,OCP,415,88.40285,-0.07485918,-74.85918,0,1
SR450,replicate_03,OCP,416,89.48765,-0.07475505,-74.75505,0,1
SR450,replicate_03,OCP,417,90.5724,-0.07461607,-74.61607,0,1
SR450,replicate_03,OCP,418,91.65705,-0.07453309,-74.53309,0,1
SR450,replicate_03,OCP,419,92.7417,-0.07445796,-74.45796,0,1
SR450,replicate_03,OCP,420,93.82635,-0.07434818,-74.34818,0,1
SR450,replicate_03,OCP,421,94.91105,-0.07423096,-74.23096,0,1
SR450,replicate_03,OCP,422,95.99585,-0.07416319,-74.16319,0,1
SR450,replicate_03,OCP,423,97.0806,-0.07410035,-74.10035,0,1
SR450,replicate_03,OCP,424,98.1701,-0.07398745,-73.98745,0,1
SR450,replicate_03,OCP,425,99.25485,-0.07390205,-73.90205,0,1
SR450,replicate_03,OCP,426,100.3398,-0.07382813,-73.82813,0,1
SR450,replicate_03,OCP,427,101.4245,-0.07374625,-73.74625,0,1
SR450,replicate_03,OCP,428,102.5093,-0.07366186,-73.66186,0,1
SR450,replicate_03,OCP,429,103.594,-0.07359691,-73.59691,0,1
SR450,replicate_03,OCP,430,104.6787,-0.07348985,-73.48985,0,1
SR450,replicate_03,OCP,431,105.7634,-0.07341301,-73.41301,0,1
SR450,replicate_03,OCP,432,106.8483,-0.07332087,-73.32087,0,1
SR450,replicate_03,OCP,433,107.933,-0.07322539,-73.22539,0,1
SR450,replicate_03,OCP,434,109.0225,-0.07313868,-73.13868,0,1
SR450,replicate_03,OCP,435,110.1071,-0.07301582,-73.01582,0,1
SR450,replicate_03,OCP,436,111.1918,-0.07294885,-72.94885,0,1
SR450,replicate_03,OCP,437,112.2766,-0.0728996,-72.8996,0,1
SR450,replicate_03,OCP,438,113.3614,-0.07279779,-72.79779,0,1
SR450,replicate_03,OCP,439,114.4462,-0.07271943,-72.71943,0,1
SR450,replicate_03,OCP,440,115.531,-0.07266596,-72.66596,0,1
SR450,replicate_03,OCP,441,116.6158,-0.07255327,-72.55327,0,1
SR450,replicate_03,OCP,442,117.7007,-0.07245397,-72.45397,0,1
SR450,replicate_03,OCP,443,118.7855,-0.0723874,-72.3874,0,1
SR450,replicate_03,OCP,444,119.875,-0.07231741,-72.31741,0,1
SR450,replicate_03,OCP,445,120.9598,-0.07224309,-72.24309,0,1
SR450,replicate_03,OCP,446,122.0445,-0.07216131,-72.16131,0,1
SR450,replicate_03,OCP,447,123.1293,-0.07209897,-72.09897,0,1
SR450,replicate_03,OCP,448,124.2141,-0.07202365,-72.02365,0,1
SR450,replicate_03,OCP,449,125.2989,-0.07193502,-71.93502,0,1
SR450,replicate_03,OCP,450,126.3836,-0.07186412,-71.86412,0,1
SR450,replicate_03,OCP,451,127.4683,-0.07180723,-71.80723,0,1
SR450,replicate_03,OCP,452,128.5531,-0.07173673,-71.73673,0,1
SR450,replicate_03,OCP,453,129.6377,-0.07166281,-71.66281,0,1
SR450,replicate_03,OCP,454,130.7272,-0.07159714,-71.59714,0,1
SR450,replicate_03,OCP,455,131.812,-0.0715339,-71.5339,0,1
SR450,replicate_03,OCP,456,132.8967,-0.07148416,-71.48416,0,1
SR450,replicate_03,OCP,457,133.9814,-0.07143681,-71.43681,0,1
SR450,replicate_03,OCP,458,135.0661,-0.07140721,-71.40721,0,1
SR450,replicate_03,OCP,459,136.1508,-0.07136884,-71.36884,0,1
SR450,replicate_03,OCP,460,137.2355,-0.07132624,-71.32624,0,1
SR450,replicate_03,OCP,461,138.3201,-0.07129522,-71.29522,0,1
SR450,replicate_03,OCP,462,139.4048,-0.07128324,-71.28324,0,1
SR450,replicate_03,OCP,463,140.4895,-0.07128717,-71.28717,0,1
SR450,replicate_03,OCP,464,141.579,-0.07127387,-71.27387,0,1
SR450,replicate_03,OCP,465,142.6638,-0.07128727,-71.28727,0,1
SR450,replicate_03,OCP,466,143.7484,-0.07135172,-71.35172,0,1
SR450,replicate_03,OCP,467,144.8332,-0.07141174,-71.41174,0,1
SR450,replicate_03,OCP,468,145.9179,-0.07149291,-71.49291,0,1
SR450,replicate_03,OCP,469,147.0029,-0.07159916,-71.59916,0,1
SR450,replicate_03,OCP,470,148.0876,-0.07163914,-71.63914,0,1
SR450,replicate_03,OCP,471,149.1723,-0.07163098,-71.63098,0,1
SR450,replicate_03,OCP,472,150.2572,-0.07157871,-71.57871,0,1
SR450,replicate_03,OCP,473,151.342,-0.07154296,-71.54296,0,1
SR450,replicate_03,OCP,474,152.4315,-0.0714626,-71.4626,0,1
SR450,replicate_03,OCP,475,153.5163,-0.07138264,-71.38264,0,1
SR450,replicate_03,OCP,476,154.601,-0.07135182,-71.35182,0,1
SR450,replicate_03,OCP,477,155.6859,-0.07126108,-71.26108,0,1
SR450,replicate_03,OCP,478,156.7706,-0.07120136,-71.20136,0,1
SR450,replicate_03,OCP,479,157.8553,-0.07111717,-71.11717,0,1
SR450,replicate_03,OCP,480,158.94,-0.07104154,-71.04154,0,1
SR450,replicate_03,OCP,481,160.0247,-0.07095392,-70.95392,0,1
SR450,replicate_03,OCP,482,161.1096,-0.07091344,-70.91344,0,1
SR450,replicate_03,OCP,483,162.1943,-0.07082955,-70.82955,0,1
SR450,replicate_03,OCP,484,163.2838,-0.07078312,-70.78312,0,1
SR450,replicate_03,OCP,485,164.3686,-0.07076036,-70.76036,0,1
SR450,replicate_03,OCP,486,165.4532,-0.07075261,-70.75261,0,1
SR450,replicate_03,OCP,487,166.538,-0.07078554,-70.78554,0,1
SR450,replicate_03,OCP,488,167.6227,-0.07082058,-70.82058,0,1
SR450,replicate_03,OCP,489,168.7074,-0.07083237,-70.83237,0,1
SR450,replicate_03,OCP,490,169.7921,-0.07078192,-70.78192,0,1
SR450,replicate_03,OCP,491,170.8769,-0.07074092,-70.74092,0,1
SR450,replicate_03,OCP,492,171.9617,-0.07064737,-70.64737,0,1
SR450,replicate_03,OCP,493,173.0464,-0.07057697,-70.57697,0,1
SR450,replicate_03,OCP,494,174.1359,-0.07048725,-70.48725,0,1
SR450,replicate_03,OCP,495,175.2207,-0.07042541,-70.42541,0,1
SR450,replicate_03,OCP,496,176.3053,-0.07038382,-70.38382,0,1
SR450,replicate_03,OCP,497,177.39,-0.07028301,-70.28301,0,1
SR450,replicate_03,OCP,498,178.4749,-0.07026508,-70.26508,0,1
SR450,replicate_03,OCP,499,179.5596,-0.07020193,-70.20193,0,1
SR450,replicate_03,OCP,500,180.6443,-0.07017283,-70.17283,0,1
SR450,replicate_03,OCP,501,181.729,-0.07008411,-70.08411,0,1
SR450,replicate_03,OCP,502,182.8138,-0.07001996,-70.01996,0,1
SR450,replicate_03,OCP,503,183.8985,-0.06993899,-69.93899,0,1
SR450,replicate_03,OCP,504,184.9881,-0.06989972,-69.89972,0,1
SR450,replicate_03,OCP,505,186.0728,-0.06987192,-69.87192,0,1
SR450,replicate_03,OCP,506,187.1575,-0.06986346,-69.86346,0,1
SR450,replicate_03,OCP,507,188.2422,-0.06989408,-69.89408,0,1
SR450,replicate_03,OCP,508,189.3268,-0.06993999,-69.93999,0,1
SR450,replicate_03,OCP,509,190.4116,-0.07002641,-70.02641,0,1
SR450,replicate_03,OCP,510,191.4963,-0.07016206,-70.16206,0,1
SR450,replicate_03,OCP,511,192.5812,-0.07031332,-70.31332,0,1
SR450,replicate_03,OCP,512,193.6659,-0.07044968,-70.44968,0,1
SR450,replicate_03,OCP,513,194.7507,-0.0706237,-70.6237,0,1
SR450,replicate_03,OCP,514,195.8403,-0.07075231,-70.75231,0,1
SR450,replicate_03,OCP,515,196.9251,-0.07089803,-70.89803,0,1
SR450,replicate_03,OCP,516,198.0098,-0.07097366,-70.97366,0,1
SR450,replicate_03,OCP,517,199.0944,-0.07092714,-70.92714,0,1
SR450,replicate_03,OCP,518,200.1792,-0.07084274,-70.84274,0,1
SR450,replicate_03,OCP,519,201.264,-0.07070658,-70.70658,0,1
